Subject_ID,Task,Item_Index,Absolute_Word_Start,Absolute_Word_End,Duration,Gap_Before,Auto_Word,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,n_missing_features_before,n_missing_features_after,any_feature_imputed
xxxxxxxx001,Dots,1,1.4307,1.7061,0.2754,1.4307,红,36.73899841,0.025479775,35.84952545,36.48320007,37.64011383,1.790588379,22.08219337,0,40.00633621,0,0.80584234,0.238019794,0.697074592,0.806503177,0.986888647,0.289814055,6.325947285,6.436138153,2.768544674,0,0.42910856,0.617587626,44.47323608,0.112170406,13.05899715,0.315678537,-8.780103683,-0.775847912,-29.84509277,-0.331320435,0.011305578,1.351472855,0.3113814,0.212289914,11.65702057,0.279289395,-0.611152768,-3.939022779,37.84428024,0.070320413,563.1577148,0.410084277,1446.793701,0.162285358,-9.192351341,-0.444627911,1536.870605,0.246790558,1296.07373,0.477535218,-31.8648243,-0.265360892,2677.067383,0.141568884,1076.332031,0.289680004,-45.82515717,-0.122964971,-24.8238678,-0.222404689,36.27111816,0.140634745,0.078219116,0.283390731,-0.040908258,-0.146481454,0.434581369,0.70843327,44.37091827,0.126239777,11.38485718,0.231148615,-11.45826817,-0.464143425,-33.50247574,-0.236540854,0,0,0,0,0,3.846153975,5.000000477,0.189999998,0,0,0,-25.87416649,0,0,0
xxxxxxxx001,Dots,2,1.8268,2.0005,0.1737,0.1207,黄,34.81850052,0.009147358,34.56086731,34.69419098,35.04153061,0.4806633,6.75201416,0,16.42907524,0,1.262940288,0.106706075,1.152139544,1.325336337,1.372116208,0.219976664,4.604474068,0,-6.533356667,0,0.656781495,0.573850393,49.35082245,0.019629281,-3.225086212,-2.031581163,-22.33549881,-0.153633893,-29.0383625,-0.268588483,0.009751139,0.588058591,0.413756073,0.312252343,10.45528126,0.214720562,5.80020237,0.846266389,35.97432709,0.122897133,715.3081055,0.126133934,1629.953979,0.034933567,-1.112619042,-2.30150342,1448.464355,0.049986761,1233.523438,0.107783072,-13.33268929,-0.348290771,2885.360107,0.056893416,1125.116333,0.131347731,-39.59590912,-0.150009036,-10.58608437,-0.451366216,38.83128738,0.054916453,0.094394773,0.161935657,-0.020212347,-0.562825561,0.890662491,0.567729652,49.50053787,0.021200765,-4.242632866,-1.80666554,-21.5494175,-0.192311123,-34.12618637,-0.094254591,0,0,0,0,0,6.25,10.00000095,0.089999996,0,0,0,-23.74780846,0,0,0
xxxxxxxx001,Dots,3,2.212,2.4215,0.2095,0.2115,蓝,34.53149796,0.050925903,33.64750671,33.82808304,34.22893906,0.581432343,8.813714981,0,158.4529877,0,1.535103798,0.255905122,1.122900486,1.626670361,1.909430385,0.786529899,9.197119713,0,-7.862805367,0,0.514221549,0.43828541,41.02633286,0.063063838,-17.93269539,-0.588258684,-7.314314842,-0.354548573,-16.98853874,-0.216713712,0.00645483,0.487417638,0.50682807,0.605632246,10.23757172,0.350147218,14.28218555,0.742750287,25.93604469,0.431158334,804.5206909,0.152147427,1224.665283,0.200613588,1.873910785,1.915756345,1614.927124,0.154060185,944.8019409,0.373471111,-2.402398348,-4.890381813,2866.656006,0.135466948,441.8648376,0.398297042,-19.91283035,-0.560728192,-7.381698608,-0.374195427,27.74578094,0.104335986,0.085144006,0.177588478,0.001980844,2.12674737,0.627577364,0.485303104,39.66227341,0.049320184,-24.00205994,-0.265790939,-8.529758453,-0.134937212,-15.43697739,-0.217652291,0,0,0,0,0,5.263157845,7.692307949,0.119999997,0,0,0,-23.73799706,0,0,0
xxxxxxxx001,Dots,4,2.5612,2.7767,0.2155,0.1397,绿,37.27139664,0.056532223,35.32025909,37.7275238,39.30430984,3.984050751,0,0,-0.473335803,0,0.854695916,0.08046446,0.802607596,0.85163486,0.925032675,0.122425079,2.92800355,1.585281134,-3.123384714,3.518843174,0.561297655,0.376427203,38.71240616,0.057324287,3.666334391,1.236026764,25.45749664,0.262232006,-4.999870777,-0.782817245,0.017614082,0.674104571,0.263526887,0.804910481,12.08145523,0.235401049,17.36563683,0.387593925,25.84534836,0.251990646,760.869751,0.102777548,1164.960693,0.06520693,-24.9371624,-0.247856379,1957.486816,0.043569252,799.3594971,0.245758817,-38.71352386,-0.063732997,2679.741455,0.028236793,826.4735718,0.122491449,-34.87561798,-0.072281152,-25.93104172,-0.058006287,30.86211777,0.064843521,0.067351259,0.330857486,-0.032106902,-0.134746492,0.52302736,0.313472658,39.64080429,0.037457231,4.520586491,0.939391911,21.63186073,0.091433853,-7.224589348,-0.273481011,0,0,0,0,0,10.00000095,7.142857075,0.129999995,0,0,0,-23.23718834,0,0,0
xxxxxxxx001,Dots,5,2.9034,3.1818,0.2784,0.1267,绿,38.65330505,0.026933812,37.61518478,38.62883759,39.83258057,2.217395782,44.28215027,0,-24.65394974,0,0.842893302,0.196528718,0.621080399,0.887059748,0.972496986,0.351416588,4.275993347,1.201803565,1.489768505,0,0.42808935,0.414446771,37.60603333,0.031419799,2.04946804,1.560387373,27.69714546,0.141599759,-7.183494568,-1.100879431,0.01058817,0.785811603,0.591170907,1.026643634,13.96725273,0.080123737,12.65042019,0.581135333,19.23352623,0.337290585,731.6450806,0.191587508,1116.61377,0.162815139,-26.27909088,-0.114478417,1928.468994,0.0683643,711.6119995,0.692882955,-36.40432739,-0.125297666,2740.824463,0.078759618,677.921875,0.064610906,-33.27244949,-0.082452618,-22.92367172,-0.127633452,26.33415985,0.144128144,0.052848157,0.398623973,-0.030305998,-0.140073597,0.394530475,0.365750253,37.10084534,0.020733984,2.312363625,1.533578515,27.33369827,0.157233074,-6.727631092,-1.322276354,0,0,0,0,0,3.846153975,5.000000477,0.189999998,0,0,0,-23.55861855,0,0,0
xxxxxxxx001,Dots,6,3.3045,3.6208,0.3163,0.1227,蓝,32.62404251,0.047282878,31.31792068,31.91032028,34.17023468,2.852313995,26.42810631,0,15.6635294,0,1.223834038,0.393604755,0.731706023,1.273104787,1.693460345,0.961754322,7.379078865,0,-6.282124996,0,0.544910967,0.267824501,38.54930115,0.199937895,-6.048168182,-2.601553917,-8.141771317,-0.670932829,-10.56917095,-0.651554644,0.012211912,0.303247809,0.567637384,0.556063175,8.473977089,0.166796371,20.33519363,0.436856449,31.93872261,0.404493093,735.4545898,0.211727038,1389.676025,0.124460898,-4.203086853,-1.371633768,1600.026367,0.082032837,1074.796753,0.140768915,-9.53928566,-1.134233117,2873.740723,0.088349819,752.4319458,0.676028728,-28.45487595,-0.500031114,-7.07405901,-0.884926856,28.1903801,0.37518084,0.078163467,0.2126562,0.005932472,2.448122263,0.603193343,0.216617078,36.74983978,0.20245862,-11.50339699,-1.095915198,-8.602708817,-0.536266625,-9.459832191,-0.600066781,0,0,0,0,0,3.333333492,4.166666985,0.229999989,0,0,0,-26.04241753,0,0,0
xxxxxxxx001,Dots,7,3.7914,4.1007,0.3093,0.1706,黄,32.9485054,0.050699666,32.64009094,32.81402969,33.77064514,1.130554199,305.573761,0,13.22849369,0,0.92190665,0.439482749,0.565351248,0.907920063,1.368180037,0.802828789,11.20375538,0,-6.017781734,0,0.480307728,0.477422476,42.13106918,0.169014901,10.25664902,0.668264806,-9.749435425,-0.902451277,-27.25738144,-0.393458456,0.008960125,0.642694235,0.491534621,0.615384281,8.836845398,0.441951126,15.62887478,0.768363357,38.96923828,0.087336347,483.3229065,0.332255542,1545.366211,0.073167004,0.987151861,4.780694485,1268.44751,0.090208687,1088.473022,0.055278644,-13.71183777,-0.830673456,2644.705078,0.101750746,716.0849609,0.239675298,-35.70014191,-0.121857531,-16.50343704,-0.41668129,32.56719589,0.218186662,0.079822555,0.328734577,-0.027654544,-0.437763274,0.549966872,0.386224419,41.89194489,0.190193519,7.85257864,0.699811518,-13.00260067,-0.519315064,-30.43864059,-0.313549876,0,0,0,0,0,3.448276043,4.347826481,0.219999999,0,0,0,-25.32999802,0,0,0
xxxxxxxx001,Dots,8,4.2264,4.5177,0.2913,0.1257,红,33.01451492,0.024582567,32.39252472,32.7021904,33.76057053,1.368045807,21.61392784,0,10.73188782,0,0.678608239,0.265706897,0.503395021,0.708337069,0.835526705,0.332131684,1.883884072,3.666812658,2.113837957,0,0.357928365,0.299328715,47.37288666,0.088662133,26.59077644,0.088802166,9.542384148,0.669591188,-19.80995369,-0.487747788,0.007006172,0.291174054,0.316104114,0.558425784,11.52549934,0.046352699,13.21751976,0.387063295,52.99715424,0.043363281,624.1922607,0.296008438,1408.515015,0.122530453,-12.45741081,-0.825535715,1745.721436,0.224115446,1406.206543,0.315283746,-38.68263626,-0.191170961,2888.7771,0.096095435,1032.295898,0.200317889,-48.90335083,-0.039115563,-35.22218704,-0.056844529,46.47594452,0.066779859,0.08984182,0.131753474,-0.049358603,-0.264976352,0.382021129,0.395429194,48.88715363,0.060208231,27.17852974,0.070985079,8.441894531,0.770532966,-22.32955742,-0.420332253,0,0,0,0,0,3.571428537,4.545454502,0.209999993,0,0,0,-25.20781326,0,0,0
xxxxxxxx001,Dots,9,5.1673,5.4376,0.2703,0.6496,黄,34.67338562,0.0359849,33.69360352,33.87368011,36.06444168,2.370838165,0.170616537,0,0,0,1.042479157,0.296480715,0.844110727,0.99860549,1.368720531,0.524609804,1.574935675,5.521630287,5.91595459,0,0.55182308,0.218226135,46.1182785,0.061772231,8.498106956,0.844117522,-10.88026237,-0.682939887,-29.37100601,-0.225146025,0.008977087,0.440555155,0.61737746,0.416643292,11.01520824,0.0939807,14.35077953,0.836932302,39.72915649,0.065345749,546.8024292,0.402538687,1600.557617,0.149459392,-0.572616518,-16.78928185,1345.792969,0.138430357,1082.13562,0.072952345,-16.48432922,-0.6639961,2768.689941,0.123087242,757.9473877,0.421298593,-39.87786865,-0.122529611,-19.35362244,-0.228672296,37.24700928,0.038551282,0.093592159,0.112809367,-0.02632013,-0.654672503,0.585265636,0.224847138,46.60991669,0.064144008,5.483911991,0.717600584,-14.24323368,-0.278863311,-31.34306717,-0.187954217,0,0,0,0,0,3.846153975,5.000000477,0.189999998,0,0,0,-24.0518837,0,0,0
xxxxxxxx001,Dots,10,5.5544,5.7439,0.1895,0.1168,红,33.23382187,0.016384432,32.71529007,33.00991058,33.76619339,1.05090332,9.607124329,0,19.78263855,0,0.839304209,0.145915717,0.705557823,0.848483503,0.968078017,0.262520194,4.601586342,0,-3.111859798,0,0.384995252,0.404681087,50.05648041,0.041326948,23.95870018,0.14914231,1.567720532,4.978289127,-29.61490822,-0.292370617,0.009352343,0.245949507,0.313907981,0.262904435,11.34505367,0.056471784,10.5436573,0.556276083,49.82987976,0.104965672,573.8092651,0.431230843,1449.46814,0.160448208,-9.075139999,-0.904475391,1715.414429,0.302422047,1051.172729,0.126725033,-32.77044296,-0.238341346,3058.175049,0.127239317,900.7601318,0.531807065,-46.2184639,-0.068115212,-31.51334,-0.098737746,43.20772171,0.132109597,0.086207971,0.109392181,-0.053745802,-0.064072527,0.500703871,0.389946461,51.24549866,0.027654057,21.87218666,0.122142985,-3.609414577,-1.088017702,-35.39579391,-0.12280938,0,0,0,0,0,5.882352829,9.090909004,0.099999994,0,0,0,-24.36718178,0,0,0
