Device_ID,Device_Name,Measure,Source_Column,N_Complete_Pairs,ICC_3_1,ICC_95CI_Low_Bootstrap,ICC_95CI_High_Bootstrap,Bootstrap_Valid_Replicates,ICC_Category,Session1_Mean,Session1_SD,Session2_Mean,Session2_SD,Mean_Change_S2_Minus_S1
1,ASUS_FX63VD_laptop,Three-condition overall accuracy,Overall_Accuracy_All_Three_Tasks,51,0.2953064974110573,-0.20588942299775445,0.6447230397613597,2000,poor,0.3981481481481481,0.1189805807719186,0.4090413943355119,0.10585898367677007,0.010893246187363828
1,ASUS_FX63VD_laptop,C accuracy,Overall_Accuracy_C,51,-0.022966507177033524,-0.07754974194030963,0.03561095803306479,2000,poor,0.17647058823529407,0.051766191303702296,0.1732026143790849,0.05488153214703559,-0.00326797385620915
1,ASUS_FX63VD_laptop,W accuracy,Overall_Accuracy_W,51,-0.18404255319148913,-0.37241122638186436,-3.712618010640021e-16,2000,poor,0.18790849673202611,0.07965749119912975,0.17810457516339867,0.06240461130383372,-0.00980392156862745
1,ASUS_FX63VD_laptop,CW accuracy,Overall_Accuracy_CW,50,0.3831289261142687,-0.13010001545175384,0.7298110964848934,2000,poor,0.8466666666666666,0.31870984251952567,0.8733333333333334,0.2965409043226717,0.02666666666666667
1,ASUS_FX63VD_laptop,Accuracy interference (W - CW),Accuracy_Interference_W_Minus_CW,50,0.3203277636835507,-0.16668829446681532,0.6607190254597296,2000,poor,-0.6583333333333334,0.32959209999778877,-0.6950000000000002,0.29287166049962826,-0.03666666666666666
1,ASUS_FX63VD_laptop,Three-condition total completion time,Total_Completion_Time_All_Three_Tasks,41,0.6306514948134979,0.39894326426961213,0.7782954225274137,2000,moderate,29.41885365853658,4.47062358380224,28.554634146341463,5.29628691517037,-0.8642195121951223
1,ASUS_FX63VD_laptop,C card completion time,Card_Completion_Time_C,49,0.5556274658176069,0.3409208350660829,0.6954169945201139,2000,moderate,8.390163265306123,2.0615891357047316,8.19587755102041,1.8888570136532863,-0.19428571428571428
1,ASUS_FX63VD_laptop,W card completion time,Card_Completion_Time_W,46,0.6292332182074293,0.40478280007237943,0.779029718014902,2000,moderate,9.162180434782607,1.8579267799972412,9.209913043478261,2.0061674442809485,0.04773260869565222
1,ASUS_FX63VD_laptop,CW card completion time,Card_Completion_Time_CW,46,0.35523680554905107,-0.012839015746299988,0.6655401928443271,2000,poor,11.782,2.5160642192828773,10.845456521739132,2.4165367294403572,-0.9365434782608694
1,ASUS_FX63VD_laptop,Completion-time interference (CW - W),Completion_Time_Interference_CW_Minus_W,43,0.10844903730250811,-0.22044812989076015,0.5021647655414235,2000,poor,2.477558139534884,2.439624573989921,1.711139534883721,1.8562460784809671,-0.7664186046511628
2,Apple_iPad_2021,Three-condition overall accuracy,Overall_Accuracy_All_Three_Tasks,51,0.0505603368212496,-0.24034840338198663,0.3518835820972251,2000,poor,0.34477124183006524,0.1572503381405455,0.3306100217864923,0.1553823343034994,-0.014161220043572986
2,Apple_iPad_2021,C accuracy,Overall_Accuracy_C,51,-0.08556149732620308,-0.17449630256839727,0.007225092547268209,2000,poor,0.17810457516339867,0.06670750383231354,0.18464052287581695,0.06081329690626897,0.006535947712418299
2,Apple_iPad_2021,W accuracy,Overall_Accuracy_W,51,-0.18742724097788113,-0.3512481931075267,0.015641292599185754,2000,poor,0.18790849673202611,0.07234780434144716,0.18790849673202611,0.06421132051217458,-5.442269728554689e-19
2,Apple_iPad_2021,CW accuracy,Overall_Accuracy_CW,50,0.12269185685720192,-0.15016296507784888,0.39597747370806663,2000,poor,0.6816666666666668,0.44214292125034793,0.6116666666666667,0.4643192906052019,-0.06999999999999999
2,Apple_iPad_2021,Accuracy interference (W - CW),Accuracy_Interference_W_Minus_CW,50,0.1318978221712788,-0.1533198821815766,0.4020627979969563,2000,poor,-0.49333333333333335,0.441228443872944,-0.42333333333333334,0.4698506541319365,0.07
2,Apple_iPad_2021,Three-condition total completion time,Total_Completion_Time_All_Three_Tasks,20,0.6682696663960763,0.2110417988204905,0.8580159924666735,2000,moderate,26.80328,4.6329799915048415,25.026245000000003,5.1620735146863534,-1.7770350000000008
2,Apple_iPad_2021,C card completion time,Card_Completion_Time_C,44,0.5666114063956805,0.36649471866041755,0.7009943771580724,2000,moderate,7.577136363636362,2.247509883372315,7.273702272727269,1.8505261753913849,-0.3034340909090908
2,Apple_iPad_2021,W card completion time,Card_Completion_Time_W,43,0.5882130026234307,0.3533990080269353,0.7467927164425328,2000,moderate,8.783037209302327,2.1850275432527115,8.479053488372093,1.8838263378343805,-0.30398372093023274
2,Apple_iPad_2021,CW card completion time,Card_Completion_Time_CW,24,0.3806291186625569,-0.009244102615710818,0.6683762097439069,2000,poor,10.7936,1.6153299673683579,9.591108333333333,1.8189338974811036,-1.2024916666666667
2,Apple_iPad_2021,Completion-time interference (CW - W),Completion_Time_Interference_CW_Minus_W,22,0.2592754986459344,-0.053918324299887264,0.5865371507842199,2000,poor,2.2290500000000004,2.0939204104922875,1.344936363636364,1.5508705231472741,-0.8841136363636359
3,Huawei_P30_smartphone,Three-condition overall accuracy,Overall_Accuracy_All_Three_Tasks,51,0.3353004495662635,0.04246722818899347,0.5881373465849347,2000,poor,0.3393246187363834,0.1633289611555971,0.35566448801742906,0.1452987140048213,0.016339869281045742
3,Huawei_P30_smartphone,C accuracy,Overall_Accuracy_C,51,-0.035058430717863104,-0.09350801245538072,4.0916653415896934e-16,2000,poor,0.18954248366013068,0.07279810622641572,0.17156862745098037,0.03500700210070025,-0.017973856209150325
3,Huawei_P30_smartphone,W accuracy,Overall_Accuracy_W,51,-0.17463976945244974,-0.36122114788676074,-0.012920872773291882,2000,poor,0.18464052287581695,0.07872901041299847,0.1813725490196078,0.0570231004675132,-0.0032679738562091513
3,Huawei_P30_smartphone,CW accuracy,Overall_Accuracy_CW,50,0.40062155255580356,0.08746115588254999,0.6633310002905208,2000,poor,0.6566666666666666,0.4446838924138534,0.7083333333333333,0.4326033883477768,0.05166666666666666
3,Huawei_P30_smartphone,Accuracy interference (W - CW),Accuracy_Interference_W_Minus_CW,50,0.38928504899221344,0.08172235971647357,0.6493548570192765,2000,poor,-0.47166666666666673,0.4333758482545378,-0.5266666666666666,0.43884511392244696,-0.055
3,Huawei_P30_smartphone,Three-condition total completion time,Total_Completion_Time_All_Three_Tasks,23,0.5716448035875357,0.1888050892728186,0.8508008752971423,2000,moderate,27.69518695652174,3.821091466429734,25.65573913043479,3.81592520911784,-2.0394478260869557
3,Huawei_P30_smartphone,C card completion time,Card_Completion_Time_C,43,0.5373621500325803,0.2965128242706915,0.6985643320915912,2000,moderate,7.908681395348838,1.9366872582614605,7.688558139534883,1.8648927494034098,-0.22012325581395342
3,Huawei_P30_smartphone,W card completion time,Card_Completion_Time_W,46,0.5749816927713268,0.34744664738865816,0.7331679275369049,2000,moderate,9.144760869565218,2.1990561327258624,8.962108695652175,2.020797017991343,-0.18265217391304372
3,Huawei_P30_smartphone,CW card completion time,Card_Completion_Time_CW,32,0.16035775464666496,-0.16250457521000977,0.47938502442227077,2000,poor,11.205312500000002,1.6157844881347183,9.8656875,1.52251467364082,-1.3396250000000003
3,Huawei_P30_smartphone,Completion-time interference (CW - W),Completion_Time_Interference_CW_Minus_W,29,0.2774902126588348,-0.029548430960064695,0.5593504096250398,2000,poor,2.4808275862068965,2.501748575196464,1.6513103448275863,1.5292217232362784,-0.8295172413793103
